text,label,prediction
"It is supported by a Bishop, two Knights, two Rooks and a Queen, six times in all. ",2,1
Black could have played Qxd5 at once. 10. Qxd5 Qxd5 11. exd5 Bb4+ 12. Kd1 Re1#,1,2
"It deprives Black's pawn of its only good square, and saves the Bishop the co-operation of which is urgently needed in the centre. ",2,0
Now White has the disagreeable choice between Bd2 and c3. ,0,2
"Meanwhile White mobilises all his pieces, whilst Black's B remains blocked and the N must remain at d7 to cover the P. ",1,2
"In the second, where the K must make room for the B, White must decide at once between Bf4 or g5, and only f4 can be seriously considered on account of 6. Bg5 Be7 7. Bxe7 Nxe7 which only furthers Black's development. ",3,2
"With this we will close the discussion of the variations initiated by 2. Pc4 e6, and study the reply 2. ... c6 ",1,2
"Wishing to avoid this, Black plays 3. ... Bg4 and, by pinning the opponent's Knight, indirectly protects the King's Pawn. ",1,2
"White has another piece in reserve, his King's Rook, and against this Black is defenceless. ",2,0
This releases the King's Knight. ,1,2
